transaction_id,customer_id,transaction_amount,payment_status,failure_reason,payment_method,successful_payments,failed_payments,total_customer_spend,average_order_value,previous_recovery_attempts,previous_recovery_success,days_since_last_purchase,customer_tenure_days,recovered
txn_25795,cust_8270,23770.32,failed,expired_card,debit_card,18,7,6922.9800000000005,384.61,0,0,100,615,0
txn_77221,cust_9322,1457.47,failed,expired_card,netbanking,20,1,31815.8,1590.79,1,0,236,386,1
txn_35658,cust_9666,10026.53,failed,insufficient_funds,netbanking,46,3,90806.76,1974.06,0,0,131,783,0
txn_90038,cust_9838,380.96,failed,authentication_failed,debit_card,25,5,30784.500000000004,1231.38,2,2,428,777,1
txn_90077,cust_9226,9806.96,failed,insufficient_funds,upi,41,4,41237.39,1005.79,2,1,218,390,1
txn_42606,cust_5297,23050.76,failed,insufficient_funds,credit_card,39,5,78176.28,2004.52,1,0,53,702,1
txn_49099,cust_5859,13590.27,failed,insufficient_funds,upi,24,7,52192.08,2174.67,0,0,8,65,1
txn_97538,cust_6258,17686.09,failed,expired_card,upi,41,7,134901.48,3290.28,2,0,33,773,0
txn_87373,cust_3454,8163.32,failed,expired_card,debit_card,34,1,67195.56,1976.34,2,1,643,987,0
txn_16910,cust_8385,6438.9,failed,insufficient_funds,upi,41,3,10414.0,254.0,2,0,564,858,1
txn_28141,cust_7019,3526.32,failed,expired_card,debit_card,35,7,53192.299999999996,1519.78,1,1,28,541,1
txn_28047,cust_6450,20195.63,failed,network_error,credit_card,0,9,0.0,0.0,0,0,116,225,1
txn_68053,cust_8526,12793.15,failed,card_declined,credit_card,41,8,193530.66,4720.26,1,1,608,819,1
txn_64384,cust_4763,1669.06,failed,insufficient_funds,credit_card,1,3,1574.3,1574.3,0,0,81,807,1
txn_10854,cust_5737,7002.23,failed,authentication_failed,credit_card,43,6,55301.009999999995,1286.07,2,2,123,130,1
txn_77863,cust_5389,11784.0,failed,authentication_failed,credit_card,47,1,39410.44,838.5200000000001,2,1,464,511,1
txn_12811,cust_1659,16955.23,failed,insufficient_funds,debit_card,19,7,18133.6,954.4,0,0,128,147,1
txn_11802,cust_5736,8559.61,failed,insufficient_funds,netbanking,41,3,50015.9,1219.9,1,1,572,990,1
